city,house,square metres,type of real estate,floor,price,time_to_sub,nearest_station,address,tech_address,floor_of_flat,MAX_floor
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
45 минут назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
46 минут назад",48.0,2-комнатная квартира,7,12500000,10,Селигерская ,"Дмитровское шоссе, 107к1","moskva Дмитровское шоссе, 107к1",7,22
moskva,"60,7 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 2022 г., 12 этаж из 15
поселение Сосенское, жилой комплекс Скандинавия, к. 13
Бульвар адмирала Ушакова 
20 мин.
11 737 894 ₽
193 376 ₽ за м²
ипотека
Артикул в базе застройщика 23К-13.1-295. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., район Скандинавия Юг, корп. 13.1. Общая площадь квартиры 60.70 кв.
Показать телефон
В избранное
ГК «А101»
3 часа назад",60.7,2-комнатная квартира,12,11737894,20,Бульвар адмирала Ушакова ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 2022 г., 12 этаж из 15
поселение Сосенское, жилой комплекс Скандинавия, к. 13",12,15
moskva,"40,7 м², 2-комнатная квартира
8 этаж из 16
Братская улица, 17к1
Перово 
4 мин.
9 900 000 ₽
243 243 ₽ за м²
Проверено в Росреестре
ипотека
ОТ СОБСТВЕННИКА БЕЗ РИЕЛТОРОВ И КОМИССИИ Продаётся тёплая светлая 2-комнатная квартира: 8 этаж 16-эт. дома (серия: 1МГ-601-Д, 1967 г.п.), общая - 39.2 кв м, жилая - 21 кв м. Комнаты изолированные: 15 и 9 кв м., кухня 5.5 кв м. Санузел раздельный.
Показать телефон
В избранное
32 минуты назад",40.7,2-комнатная квартира,8,9900000,4,Перово ,"Братская улица, 17к1","moskva Братская улица, 17к1",8,16
moskva,"58,9 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2022 г., 5 этаж из 14
поселение Сосенское, квартал № 173
Коммунарка 
12 мин.
11 821 230 ₽
200 700 ₽ за м²
ипотека
Артикул в базе застройщика 17К-17.4-644. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., Жилой район «Скандинавия», корп. 17.4. Общая площадь квартиры
Показать телефон
В избранное
ГК «А101»
5 часов назад",58.9,2-комнатная квартира,5,11821230,12,Коммунарка ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 4 кв. 2022 г., 5 этаж из 14
поселение Сосенское, квартал № 173",5,14
moskva,"60,8 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 3 кв. 2023 г., 4 этаж из 16
поселение Сосенское, квартал № 173
Бульвар адмирала Ушакова 
23 мин.
12 133 038 ₽
199 557 ₽ за м²
ипотека
Артикул в базе застройщика 23К-14.2-54. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., район Скандинавия Юг, корп. 14.2. Общая площадь квартиры 60.80 кв.
Показать телефон
В избранное
ГК «А101»
2 часа назад",60.8,2-комнатная квартира,4,12133038,23,Бульвар адмирала Ушакова ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 3 кв. 2023 г., 4 этаж из 16
поселение Сосенское, квартал № 173",4,16
moskva,"51 м², 2-комнатная квартира
2 этаж из 2
улица Панфилова, 8
Панфиловская 
10 мин.
13 000 000 ₽
254 902 ₽ за м²
Проверено в Росреестре
Хорошая цена!
ипотека
Номер лота: 27828. Продается 2-комнатная квартира площадью 51 м, на 2 этаже 2-этажного кирпичного дома,в зеленом экологически чистом районе Москвы. Большая гостиная, спальня, совмещенный санузел. Высота потолков 3,2 м. Есть балкон. Окна гостиной
Показать телефон
В избранное
3 часа назад",51.0,2-комнатная квартира,2,13000000,10,Панфиловская ,"улица Панфилова, 8","moskva улица Панфилова, 8",2,2
moskva,"67,3 м², 2-комнатная квартира
новостройка, Жилой комплекс «Столичные поляны» 3 кв. 2021 г., 3 этаж из 33
улица Поляны, 5Ак2
Улица Старокачаловская 
17 мин.
15 081 930 ₽
224 100 ₽ за м²
ипотека
Продается двухкомнатная квартира № 131 в новостройке Жилой комплекс «Столичные поляны» по адресу Москва, ЮЗАО, Южное Бутово, ул. Поляны, корп. 4. Общая площадь квартиры 67.30 кв. м., этаж 3 из 33, секция 1. Тип проекта, по которому построен дом
Показать телефон
В избранное
Группа Компаний ПИК
3 часа назад",67.3,2-комнатная квартира,3,15081930,17,Улица Старокачаловская ,"улица Поляны, 5","moskva улица Поляны, 5",3,33
moskva,"45,9 м², 2-комнатная квартира
новостройка, Жилой квартал «LIFE-Варшавская» 4 кв. 2023 г., 18 этаж из 23
Каширский проезд, 25к1
Варшавская 
4 мин.
13 195 409 ₽
287 607 ₽ за м²
Smart-квартал будущего LIFE-Варшавская расположен в 20 минутах от центра Москвы: вблизи станций метро Варшавская и Каширская, в пешей доступности от ЖД станции «Коломенское». LIFE-Варшавская это экологичность и энергоэффективность: o Жилой квартал
Показать телефон
В избранное
ГК «Пионер»
2 часа назад",45.9,2-комнатная квартира,18,13195409,4,Варшавская ,"Каширский проезд, 25к1","moskva Каширский проезд, 25к1",18,23
moskva,"53,9 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 2 этаж из 14
поселение Сосенское, квартал № 173
Коммунарка 
12 мин.
10 170 962 ₽
188 701 ₽ за м²
ипотека
Артикул в базе застройщика 23К-15-240. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., район Скандинавия Юг, корп. 15. Общая площадь квартиры 53.90 кв. м.,
Показать телефон
В избранное
ГК «А101»
5 часов назад",53.9,2-комнатная квартира,2,10170962,12,Коммунарка ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 2 этаж из 14
поселение Сосенское, квартал № 173",2,14
moskva,"41,5 м², 2-комнатная квартира
новостройка, ЖК «balance» 3 кв. 2021 г., 28 этаж из 30
Рязанский проспект, с26к2
Окская 
16 мин.
13 256 470 ₽
319 433 ₽ за м²
ипотека
Продается 2-комн. квартира площадью 41,5 кв.м на 28 этаже 30 этажного дома в ЖК Balance. Локация Прогрессивные жилые кварталы расположены на Рязанском проспекте. В 15 минутах пешком метро «Рязанский проспект», в трех минутах станция «Окская улица».
Показать телефон
В избранное
Главстрой
3 часа назад",41.5,2-комнатная квартира,28,13256470,16,Окская ,bag,"moskva 
новостройка, ЖК «balance» 3 кв. 2021 г., 28 этаж из 30
Рязанский проспект, с26к2",28,30
moskva,"54,8 м², 2-комнатная квартира
новостройка, ЖК «Прокшино» 2023 г., 15 этаж из 16
поселение Сосенское, квартал № 26, 3к1
Прокшино 
12 мин.
11 726 222 ₽
213 982 ₽ за м²
ипотека
Артикул в базе застройщика 58К-3.1-364. Продается двухкомнатная квартира в новостройке Жилой район «Прокшино» по адресу Москва, Новомосковский АО, Сосенское С/П, Жилой район «Прокшино», корп. 3.1. Общая площадь квартиры 54.80 кв. м., этаж 15 из 16,
Показать телефон
В избранное
ГК «А101»
6 часов назад",54.8,2-комнатная квартира,15,11726222,12,Прокшино ,"поселение Сосенское, квартал № 26, 3к1","moskva поселение Сосенское, квартал № 26, 3к1",15,16
moskva,"67,8 м², 2-комнатная квартира
новостройка, Жилой район ÁLIA 2023 г., 10 этаж из 21
Лётная улица, 95Б
Спартак 
10 мин.
18 213 888 ₽
268 800 ₽ за м²
ипотека
Продается 2-комнатная квартира № 158 в Жилом районе ALIA (АЛИА) по адресу: Москва, СЗАО, ул. Летная, 95Б. Общая площадь квартиры 67.76 кв. м., этаж 10 из 21, секция 3. Тип дома монолитно-кирпичный, компания-застройщик ООО «Специализированный
Показать телефон
В избранное
Резиденс
3 часа назад",67.8,2-комнатная квартира,10,18213888,10,Спартак ,"Лётная улица, 95","moskva Лётная улица, 95",10,21
moskva,"44,5 м², 2-комнатная квартира
2 этаж из 9
улица Молдагуловой, 32
Выхино 
16 мин.
9 200 000 ₽
206 742 ₽ за м²
ипотека
О квартире: Продается двухкомнатная квартира в обжитом районе. Сан-узел раздельный, балкона нету. Окна выходят в тихий спокойный двор. Квартира требует ремонта. Инфраструктура: Рядом домом в 5мин ходьбы 4 детских сада и 4 школы, аптеки, салоны
Показать телефон
В избранное
2 минуты назад",44.5,2-комнатная квартира,2,9200000,16,Выхино ,"улица Молдагуловой, 32","moskva улица Молдагуловой, 32",2,9
moskva,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
39 минут назад",56.9,2-комнатная квартира,9,14000000,15,Водный стадион ,"Онежская улица, 51к1","moskva Онежская улица, 51к1",9,17
moskva,"41,2 м², 2-комнатная квартира
новостройка, ЖК «Level Причальный» 4 кв. 2023 г., 22 этаж из 33
Причальный проезд, 8
Шелепиха 
11 мин.
17 188 516 ₽
417 197 ₽ за м²
ипотека
Условный номер в1-176. На берегу Москвы-реки продается 2-к квартира площадью 41,2 кв.м. на 22 этаже 33 этажного корпуса Bосток жилого комплекса бизнес-класса Level Причальный от компании Level Group. Отличная транспортная доступность. 7 мин. пешком
Показать телефон
В избранное
2 часа назад",41.2,2-комнатная квартира,22,17188516,11,Шелепиха ,"Причальный проезд, 8","moskva Причальный проезд, 8",22,33
moskva,"73,6 м², 2-комнатная квартира
новостройка, Жилой комплекс «Михайловский парк» 2023 г., 10 этаж из 33
2-я Институтская улица, 6к6
Окская 
11 мин.
16 228 800 ₽
220 500 ₽ за м²
ипотека
Продается двухкомнатная квартира № 4103 в новостройке Жилой комплекс «Михайловский парк» по адресу Москва, ЮВАО, Рязанский, ул. 2-я Институтская, вл. 6, корп. 6. Общая площадь квартиры 73.60 кв. м., этаж 10 из 33, секция 3. Тип проекта, по которому
Показать телефон
В избранное
Группа Компаний ПИК
5 часов назад",73.6,2-комнатная квартира,10,16228800,11,Окская ,"2-я Институтская улица, 6к6","moskva 2-я Институтская улица, 6к6",10,33
moskva,"55,8 м², 2-комнатная квартира
новостройка, ЖК City Bay 4 кв. 2024 г., 25 этаж из 53
СЗАО, район Покровское-Стрешнево, жилой комплекс Сити Бэй, к. 3
Трикотажная 
16 мин.
16 588 112 ₽
297 278 ₽ за м²
Показать телефон
В избранное
MR Group
5 часов назад",55.8,2-комнатная квартира,25,16588112,16,Трикотажная ,bag,"moskva 
новостройка, ЖК City Bay 4 кв. 2024 г., 25 этаж из 53
СЗАО, район Покровское-Стрешнево, жилой комплекс Сити Бэй, к. 3",25,53
moskva,"38,6 м², 2-комнатная квартира
новостройка, ЖК Russian Design District 2022 г., 5 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 3А
Ольховая 
32 мин.
9 078 000 ₽
235 181 ₽ за м²
О жилом комплексе. Культурно-образовательный кластер Russian Design District проект девелоперской компании Группа Родина. Строится как центр притяжения Новой Москвы. В жилом кластере созданы все условия для получения всестороннего образования,
Показать телефон
В избранное
2 часа назад",38.6,2-комнатная квартира,5,9078000,32,Ольховая ,bag,"moskva 
новостройка, ЖК Russian Design District 2022 г., 5 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 3А",5,13
moskva,"76,5 м², 2-комнатная квартира
новостройка, Город-парк «Первый Московский» 2022 г., 24 этаж из 25
Московский, микрорайон Первый Московский, жилой комплекс Первый Московский, 10-я фаза, к. 7
Саларьево 
26 мин.
12 789 788 ₽
167 187 ₽ за м²
ипотека
Продается двухкомнатная квартира без отделки в 10 фазе города-парка ""Первый Московский"". Общая площадь квартиры - 76,5 кв. м, этаж 24 из 25. Срок сдачи - 2 квартал 2022 года. Тип дома - монолитный. Город-парк ""Первый Московский"" - это новый
Показать телефон
В избранное
Абсолют Недвижимость
2 часа назад",76.5,2-комнатная квартира,24,12789788,26,Саларьево ,"Московский, микрорайон Первый Московский, жилой комплекс Первый Московский, 10","moskva Московский, микрорайон Первый Московский, жилой комплекс Первый Московский, 10",24,25
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
46 минут назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
47 минут назад",48.0,2-комнатная квартира,7,12500000,10,Селигерская ,"Дмитровское шоссе, 107к1","moskva Дмитровское шоссе, 107к1",7,22
moskva,"53,6 м², 2-комнатная квартира
новостройка, ЖК «Кленовые Аллеи» 2022 г., 11 этаж из 14
поселение Десеновское, жилой комплекс Кленовые Аллеи, к12
Ольховая 
30 мин.
9 430 920 ₽
175 950 ₽ за м²
ипотека
Продается комфортная 2-комнатная квартира площадью 53.6 кв. метров в центре Новой Москвы. Квартира расположена на 11 этаже, корпус 12, в современном ЖК «Кленовые Аллеи» от ГК «МИЦ». Квартира без отделки. Требуется отделка. Срок сдачи II кв 2022.
Показать телефон
В избранное
ГК «МИЦ»
6 часов назад",53.6,2-комнатная квартира,11,9430920,30,Ольховая ,bag,"moskva 
новостройка, ЖК «Кленовые Аллеи» 2022 г., 11 этаж из 14
поселение Десеновское, жилой комплекс Кленовые Аллеи, к12",11,14
moskva,"42,4 м², 2-комнатная квартира
3 этаж из 5
Знаменская улица, 39
Преображенская площадь 
13 мин.
9 300 000 ₽
219 340 ₽ за м²
Проверено в Росреестре
Хорошая цена!
ипотека
Квартира расположена в тихом зелёном районе, окна выходят во двор, перепланировки отсутствуют, все документы для сделки имеются, свободная продажа
Показать телефон
В избранное
Иванов Кирилл, частный агент
17 августа 2021",42.4,2-комнатная квартира,3,9300000,13,Преображенская площадь ,"Знаменская улица, 39","moskva Знаменская улица, 39",3,5
moskva,"58,1 м², 2-комнатная квартира
новостройка, ЖК «Метрополия» 2024 г., 15 этаж из 30
ЮВАО, Южнопортовый район, жилой комплекс Метрополия
Угрешская 
8 мин.
16 790 900 ₽
289 000 ₽ за м²
Показать телефон
В избранное
MR Group
5 часов назад",58.1,2-комнатная квартира,15,16790900,8,Угрешская ,bag,"moskva 
новостройка, ЖК «Метрополия» 2024 г., 15 этаж из 30
ЮВАО, Южнопортовый район, жилой комплекс Метрополия",15,30
moskva,"47,6 м², 2-комнатная квартира
новостройка, Жилой район «Испанские кварталы» 2023 г., 11 этаж из 15
поселение Сосенское, жилой комплекс Испанские Кварталы 2», к. 6/3
Прокшино 
12 мин.
10 135 181 ₽
212 924 ₽ за м²
ипотека
Артикул в базе застройщика 10К-6.3-414. Продается двухкомнатная квартира в новостройке Жилой район «Испанские кварталы» по адресу Москва, Новомосковский АО, Сосенское С/П, Жилой район «Испанские кварталы», корп. 6.3 (ИК-2). Общая площадь квартиры
Показать телефон
В избранное
ГК «А101»
2 часа назад",47.6,2-комнатная квартира,11,10135181,12,Прокшино ,bag,"moskva 
новостройка, Жилой район «Испанские кварталы» 2023 г., 11 этаж из 15
поселение Сосенское, жилой комплекс Испанские Кварталы 2», к. 6/3",11,15
moskva,"52,6 м², 2-комнатная квартира
ЖК «Настроение», 11 этаж из 22
улица Красная Сосна, 3к2
Ботанический сад 
19 мин.
15 246 110 ₽
289 850 ₽ за м²
Готовы показать онлайн
Корпус сдан! Прямая продажа от застройщика! Продаётся 2-к квартира в сданном корпусе общей площадью 52.6 кв.м. на 11-м этаже 22 этажного дома. Жилой комплекс «Настроение» это уникальная возможность дышать свежим воздухом, не выезжая из города,
Показать телефон
В избранное
ГК ФСК
6 часов назад",52.6,2-комнатная квартира,11,15246110,19,Ботанический сад ,"улица Красная Сосна, 3к2","moskva улица Красная Сосна, 3к2",11,22
moskva,"52,9 м², 2-комнатная квартира
новостройка, Жилой район «Саларьево парк» 2023 г., 8 этаж из 17
поселение Сосенское, жилой комплекс Саларьево Парк, 51
Филатов Луг 
15 мин.
10 558 840 ₽
199 600 ₽ за м²
ипотека
Продается двухкомнатная квартира № 181 в новостройке Жилой район «Саларьево парк» по адресу Москва, Новомосковский АО, Московский Г/П, Жилой район «Саларьево парк», корп. 51. Общая площадь квартиры 52.90 кв. м., этаж 8 из 17, секция 1. Тип проекта,
Показать телефон
В избранное
Группа Компаний ПИК
6 часов назад",52.9,2-комнатная квартира,8,10558840,15,Филатов Луг ,"поселение Сосенское, жилой комплекс Саларьево Парк, 51","moskva поселение Сосенское, жилой комплекс Саларьево Парк, 51",8,17
moskva,"44,5 м², 2-комнатная квартира
2 этаж из 9
улица Молдагуловой, 32
Выхино 
16 мин.
9 200 000 ₽
206 742 ₽ за м²
ипотека
О квартире: Продается двухкомнатная квартира в обжитом районе. Сан-узел раздельный, балкона нету. Окна выходят в тихий спокойный двор. Квартира требует ремонта. Инфраструктура: Рядом домом в 5мин ходьбы 4 детских сада и 4 школы, аптеки, салоны
Показать телефон
В избранное
3 минуты назад",44.5,2-комнатная квартира,2,9200000,16,Выхино ,"улица Молдагуловой, 32","moskva улица Молдагуловой, 32",2,9
moskva,"51,4 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 10 этаж из 16
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига
Коммунарка 
12 мин.
11 161 048 ₽
217 141 ₽ за м²
ипотека
Артикул в базе застройщика 23К-23.3-353. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., Скандинавский бульвар, д. 2 - 6, район Скандинавия, корп. 8, 13 -
Показать телефон
В избранное
ГК «А101»
5 часов назад",51.4,2-комнатная квартира,10,11161048,12,Коммунарка ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 4 кв. 2023 г., 10 этаж из 16
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига",10,16
moskva,"51,1 м², 2-комнатная квартира
новостройка, ЖК «balance» 3 кв. 2021 г., 9 этаж из 30
Рязанский проспект, с26к2
Окская 
16 мин.
16 374 126 ₽
320 433 ₽ за м²
ипотека
Продается 2-комн. квартира площадью 51,1 кв.м на 9 этаже 30 этажного дома в ЖК Balance. Локация Прогрессивные жилые кварталы расположены на Рязанском проспекте. В 15 минутах пешком метро «Рязанский проспект», в трех минутах станция «Окская улица».
Показать телефон
В избранное
Главстрой
2 часа назад",51.1,2-комнатная квартира,9,16374126,16,Окская ,bag,"moskva 
новостройка, ЖК «balance» 3 кв. 2021 г., 9 этаж из 30
Рязанский проспект, с26к2",9,30
moskva,"57,9 м², 2-комнатная квартира
новостройка, Жилой район «Саларьево парк» 3 кв. 2023 г., 7 этаж из 16
поселение Сосенское, жилой комплекс Саларьево Парк, 48, к. 1
Филатов Луг 
14 мин.
10 422 000 ₽
180 000 ₽ за м²
ипотека
Продается двухкомнатная квартира № 272 в новостройке Жилой район «Саларьево парк» по адресу Москва, Новомосковский АО, Московский Г/П, Жилой район «Саларьево парк», корп. 48.2. Общая площадь квартиры 57.90 кв. м., этаж 7 из 16, секция 2. Тип
Показать телефон
В избранное
Группа Компаний ПИК
2 часа назад",57.9,2-комнатная квартира,7,10422000,14,Филатов Луг ,"поселение Сосенское, жилой комплекс Саларьево Парк, 48","moskva поселение Сосенское, жилой комплекс Саларьево Парк, 48",7,16
moskva,"56,9 м², 2-комнатная квартира
9 этаж из 17
Онежская улица, 51к1
Водный стадион 
15 мин.
14 000 000 ₽
246 046 ₽ за м²
ВНИМАНИЕ, ВЫГОДНОЕ ПРЕДЛОЖЕНИЕ ДЛЯ ДРУЖНОЙ СЕМЬИ! Продается отличная 2комнатная квартира, расположенная зелёном и тихом районе Москвы. Квартира оптимальной планировки. Просторная комната, где Вы можете реализовать смелые дизайнерские решения. Уютная
Показать телефон
В избранное
40 минут назад",56.9,2-комнатная квартира,9,14000000,15,Водный стадион ,"Онежская улица, 51к1","moskva Онежская улица, 51к1",9,17
moskva,"56 м², 2-комнатная квартира
новостройка, Жилой комплекс «Большая Очаковская 2» 2023 г., 32 этаж из 32
ЗАО, район Очаково-Матвеевское, жилой комплекс Большая Очаковская 2, к. 1.3
Мичуринский проспект 
18 мин.
16 648 800 ₽
297 300 ₽ за м²
ипотека
Продается двухкомнатная квартира № 3323 в новостройке Жилой комплекс «Большая Очаковская 2» по адресу Москва, ЗАО, Очаково-Матвеевское, ул. Большая Очаковская, вл. 2, корп. 1.3. Общая площадь квартиры 56.00 кв. м., этаж 32 из 32, секция 3. Тип
Показать телефон
В избранное
Группа Компаний ПИК
6 часов назад",56.0,2-комнатная квартира,32,16648800,18,Мичуринский проспект ,bag,"moskva 
новостройка, Жилой комплекс «Большая Очаковская 2» 2023 г., 32 этаж из 32
ЗАО, район Очаково-Матвеевское, жилой комплекс Большая Очаковская 2, к. 1.3",32,32
moskva,"54 м², 2-комнатная квартира
новостройка, ЖК Russian Design District 2022 г., 8 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 4А
Ольховая 
32 мин.
10 892 000 ₽
201 704 ₽ за м²
О жилом комплексе. Культурно-образовательный кластер Russian Design District проект девелоперской компании Группа Родина. Строится как центр притяжения Новой Москвы. В жилом кластере созданы все условия для получения всестороннего образования,
Показать телефон
В избранное
ГК Родина
5 часов назад",54.0,2-комнатная квартира,8,10892000,32,Ольховая ,bag,"moskva 
новостройка, ЖК Russian Design District 2022 г., 8 этаж из 13
поселение Десеновское, посёлок Ватутинки, жилой комплекс Рашен Дизайн Дистрикт», к. 4А",8,13
moskva,"66,4 м², 2-комнатная квартира
новостройка, ЖК TopHILLS 2023 г., 2 этаж из 26
Электролитный проезд, стр. 7, к. 2
Нагорная 
6 мин.
18 234 692 ₽
274 454 ₽ за м²
ипотека
Продается двухкомнатная квартира (№226) в новостройке TopHILLS по адресу Москва, Электролитный пр-д, вл. 7а. Общая площадь квартиры - 66.44 кв.м. Тип проекта, по которому построен дом - монолит. Способы оплаты можно уточнить у продавца. Более
Показать телефон
В избранное
INGRAD
6 часов назад",66.4,2-комнатная квартира,2,18234692,6,Нагорная ,bag,"moskva 
новостройка, ЖК TopHILLS 2023 г., 2 этаж из 26
Электролитный проезд, стр. 7, к. 2",2,26
moskva,"62,1 м², 2-комнатная квартира
новостройка, Город-парк «Переделкино Ближнее» 2023 г., 4 этаж из 12
поселение Внуковское, микрорайон Переделкино Ближнее
Рассказовка 
8 мин.
11 312 163 ₽
182 160 ₽ за м²
ипотека
Старт продаж - первая линия домов у пруда! Продается двухкомнатная квартира без отделки в городе-парке ""Переделкино Ближнее"". Общая площадь квартиры - 62,1 кв. м, этаж 4 из 12. Тип дома - монолитный. Срок сдачи - 2 квартал 2023 года. Город-парк
Показать телефон
В избранное
Абсолют Недвижимость
2 часа назад",62.1,2-комнатная квартира,4,11312163,8,Рассказовка ,bag,"moskva 
новостройка, Город-парк «Переделкино Ближнее» 2023 г., 4 этаж из 12
поселение Внуковское, микрорайон Переделкино Ближнее",4,12
moskva,"53,5 м², 2-комнатная квартира
15 этаж из 17
3-й Митинский переулок, 1
Митино 
8 мин.
13 500 000 ₽
252 336 ₽ за м²
Проверено в Росреестре
Готовы показать онлайн
ипотека, торг
Продаю (собственник)светлую уютную квартиру с двумя изолированными комнатами, балконом(18.1 кв.м. и 14.5 кв.м,0, всего площадь 54.1кв.м) в хорошем состоянии - после косметического ремонта в 5 мин в пешей доступности от м.Митино.Центр Митино. В
Показать телефон
В избранное
47 минут назад",53.5,2-комнатная квартира,15,13500000,8,Митино ,"3-й Митинский переулок, 1","moskva 3-й Митинский переулок, 1",15,17
moskva,"48 м², 2-комнатная квартира
ЖК «Летний сад», 7 этаж из 22
Дмитровское шоссе, 107к1
Селигерская 
10 мин.
12 500 000 ₽
260 417 ₽ за м²
На проверке в Росреестре
ипотека
Жк уровня комфорт +, выдача ключей в октябре 2021.
Показать телефон
В избранное
48 минут назад",48.0,2-комнатная квартира,7,12500000,10,Селигерская ,"Дмитровское шоссе, 107к1","moskva Дмитровское шоссе, 107к1",7,22
moskva,"59,6 м², 2-комнатная квартира
новостройка, Жилой район «Скандинавия» 2023 г., 10 этаж из 16
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига
Бульвар адмирала Ушакова 
20 мин.
11 245 460 ₽
188 682 ₽ за м²
ипотека
Артикул в базе застройщика 23К-14.1-347. Продается двухкомнатная квартира в новостройке Жилой район «Скандинавия» по адресу Москва, Новомосковский АО, Сосенское С/П, Коммунарка пос., район Скандинавия Юг, корп. 14.1. Общая площадь квартиры 59.60 кв.
Показать телефон
В избранное
ГК «А101»
5 часов назад",59.6,2-комнатная квартира,10,11245460,20,Бульвар адмирала Ушакова ,bag,"moskva 
новостройка, Жилой район «Скандинавия» 2023 г., 10 этаж из 16
поселение Сосенское, жилой комплекс Скандинавия, улица Эдварда Грига",10,16
moskva,"62,5 м², 2-комнатная квартира
новостройка, ЖК «Метрополия» 2024 г., 23 этаж из 30
ЮВАО, Южнопортовый район, жилой комплекс Метрополия
Угрешская 
10 мин.
18 304 624 ₽
292 874 ₽ за м²
Показать телефон
В избранное
MR Group
5 часов назад",62.5,2-комнатная квартира,23,18304624,10,Угрешская ,bag,"moskva 
новостройка, ЖК «Метрополия» 2024 г., 23 этаж из 30
ЮВАО, Южнопортовый район, жилой комплекс Метрополия",23,30
moskva,"58 м², 2-комнатная квартира
14 этаж из 34
улица Адмирала Макарова, 6
Водный стадион 
10 мин.
18 700 000 ₽
322 414 ₽ за м²
ипотека
Номер лота: 31523. Видовая 2-комнатная квартира площадью 58 м, на 14 этаже 34-этажного монолитного-кирпичного дома в жилом комплексе «Невский», расположенном в 5 мин. ходьбы от метро «Водный стадион» и 10 мин. от новой станции МЦК «Балтийская». Из
Показать телефон
В избранное
Homeapp, агентство
2 часа назад",58.0,2-комнатная квартира,14,18700000,10,Водный стадион ,"улица Адмирала Макарова, 6","moskva улица Адмирала Макарова, 6",14,34
